settlement,teaor,bin,count
Aba,1,1-4,57
Aba,25,1-4,18
Aba,31,1-4,8
Aba,33,1-4,19
Aba,41,1-4,5
Aba,43,1-4,51
Aba,45,1-4,10
Aba,47,1-4,28
Aba,49,1-4,10
Aba,56,1-4,5
Aba,62,1-4,7
Aba,66,1-4,6
Aba,69,1-4,7
Aba,70,1-4,5
Aba,81,1-4,8
Aba,85,1-4,6
Aba,95,1-4,6
Aba,96,1-4,23
Abaliget,27,1-4,5
Abaliget,74,1-4,5
Abaliget,96,1-4,5
Abasár,1,1-4,39
Abasár,43,1-4,15
Abasár,45,1-4,7
Abasár,47,1-4,15
Abasár,56,1-4,7
Abasár,66,1-4,9
Abasár,74,1-4,7
Abasár,85,1-4,8
Abasár,86,1-4,5
Abasár,96,1-4,14
Abaújkér,47,1-4,5
Abaújszántó,1,1-4,19
Abaújszántó,11,1-4,5
Abaújszántó,2,1-4,6
Abaújszántó,41,1-4,10
Abaújszántó,43,1-4,27
Abaújszántó,45,1-4,8
Abaújszántó,46,1-4,7
Abaújszántó,47,1-4,18
Abaújszántó,55,1-4,6
Abaújszántó,74,1-4,8
Abaújszántó,85,1-4,9
Abaújszántó,86,1-4,5
Abaújszántó,96,1-4,8
Abaújvár,47,1-4,5
Abda,1,1-4,11
Abda,10,1-4,6
Abony,1,1-4,105
Abony,10,1-4,6
Abony,16,1-4,6
Abony,41,1-4,20
Abony,42,1-4,29
Abony,43,1-4,131
Abony,45,1-4,29
Abony,46,1-4,25
Abony,47,1-4,101
Abony,49,1-4,11
Abony,53,1-4,10
Abony,56,1-4,17
Abony,62,1-4,6
Abony,66,1-4,40
Abony,68,1-4,15
Abony,69,1-4,23
Abony,70,1-4,16
Abony,73,1-4,8
Abony,74,1-4,20
Abony,77,1-4,6
Abony,80,1-4,8
Abony,81,1-4,10
Abony,82,1-4,14
Abony,85,1-4,27
Abony,86,1-4,33
Abony,90,1-4,18
Abony,93,1-4,6
Abony,95,1-4,8
Abony,96,1-4,60
Abony,42,10-19,9
Abony,47,10-19,10
Abony,56,10-19,6
Abony,41,5-9,6
Abony,42,5-9,14
Abony,43,5-9,8
Abony,46,5-9,5
Abony,47,5-9,11
Abony,56,5-9,7
Abádszalók,1,1-4,33
Abádszalók,25,1-4,22
Abádszalók,32,1-4,12
Abádszalók,33,1-4,7
Abádszalók,41,1-4,11
Abádszalók,43,1-4,26
Abádszalók,45,1-4,5
Abádszalók,47,1-4,32
Abádszalók,49,1-4,5
Abádszalók,55,1-4,9
Abádszalók,56,1-4,9
Abádszalók,66,1-4,5
Abádszalók,68,1-4,8
Abádszalók,69,1-4,7
Abádszalók,81,1-4,5
Abádszalók,85,1-4,5
Abádszalók,86,1-4,6
Abádszalók,93,1-4,9
Abádszalók,96,1-4,22
Acsa,1,1-4,8
Acsa,43,1-4,16
Acsa,47,1-4,7
Acsalag,1,1-4,10
Acsád,1,1-4,6
Adony,1,1-4,21
Adony,10,1-4,5
Adony,22,1-4,18
Adony,23,1-4,23
Adony,25,1-4,161
Adony,27,1-4,10
Adony,28,1-4,18
Adony,29,1-4,7
Adony,31,1-4,25
Adony,32,1-4,80
Adony,33,1-4,129
Adony,43,1-4,65
Adony,45,1-4,15
Adony,47,1-4,31
Adony,49,1-4,8
Adony,56,1-4,6
Adony,66,1-4,8
Adony,68,1-4,7
Adony,69,1-4,12
Adony,74,1-4,7
Adony,81,1-4,5
Adony,82,1-4,13
Adony,85,1-4,9
Adony,86,1-4,7
Adony,96,1-4,36
Adony,22,10-19,10
Adony,23,10-19,9
Adony,25,10-19,100
Adony,28,10-19,12
Adony,31,10-19,21
Adony,32,10-19,47
Adony,33,10-19,102
Adony,47,5-9,6
Adács,1,1-4,19
Adács,32,1-4,16
Adács,33,1-4,23
Adács,43,1-4,22
Adács,47,1-4,11
Adács,56,1-4,8
Adács,66,1-4,6
Adács,81,1-4,7
Adács,96,1-4,11
Adásztevel,1,1-4,6
Adásztevel,43,1-4,14
Adásztevel,47,1-4,7
Aggtelek,1,1-4,8
Aggtelek,47,1-4,5
Aggtelek,55,1-4,5
Ajak,1,1-4,80
Ajak,25,1-4,10
Ajak,31,1-4,10
Ajak,33,1-4,6
Ajak,43,1-4,33
Ajak,45,1-4,6
Ajak,47,1-4,29
Ajak,56,1-4,6
Ajak,66,1-4,7
Ajak,74,1-4,7
Ajak,81,1-4,8
Ajak,85,1-4,10
Ajak,86,1-4,7
Ajak,90,1-4,7
Ajak,96,1-4,17
Ajka,1,1-4,36
Ajka,10,1-4,5
Ajka,14,1-4,5
Ajka,16,1-4,6
Ajka,2,1-4,11
Ajka,41,1-4,38
Ajka,42,1-4,6
Ajka,43,1-4,272
Ajka,45,1-4,80
Ajka,46,1-4,30
Ajka,47,1-4,145
Ajka,49,1-4,38
Ajka,53,1-4,12
Ajka,55,1-4,8
Ajka,56,1-4,53
Ajka,59,1-4,9
Ajka,62,1-4,35
Ajka,66,1-4,84
Ajka,68,1-4,37
Ajka,69,1-4,83
Ajka,70,1-4,27
Ajka,73,1-4,20
Ajka,74,1-4,80
Ajka,75,1-4,5
Ajka,77,1-4,13
Ajka,80,1-4,35
Ajka,81,1-4,39
Ajka,82,1-4,22
Ajka,85,1-4,77
Ajka,86,1-4,78
Ajka,90,1-4,27
Ajka,93,1-4,32
Ajka,94,1-4,8
Ajka,95,1-4,19
Ajka,96,1-4,242
Ajka,46,10-19,5
Ajka,47,10-19,8
Ajka,56,10-19,6
Ajka,49,20-49,6
Ajka,43,5-9,8
Ajka,47,5-9,19
Ajka,49,5-9,7
Ajka,56,5-9,6
Ajka,68,5-9,5
Ajka,69,5-9,5
Ajka,86,5-9,5
Ajka,93,5-9,5
Ajka,23,50-249,6
Ajka,25,50-249,41
Ajka,28,50-249,11
Ajka,31,50-249,20
Ajka,32,50-249,14
Ajka,33,50-249,23
Aka,1,1-4,5
Akasztó,1,1-4,84
Akasztó,11,1-4,8
Akasztó,43,1-4,49
Akasztó,45,1-4,7
Akasztó,46,1-4,7
Akasztó,47,1-4,25
Akasztó,49,1-4,7
Akasztó,56,1-4,7
Akasztó,66,1-4,5
Akasztó,69,1-4,5
Akasztó,82,1-4,5
Akasztó,86,1-4,7
Akasztó,96,1-4,17
Alacska,1,1-4,5
Alacska,25,1-4,9
Alacska,43,1-4,7
Alap,1,1-4,41
Alap,25,1-4,5
Alap,43,1-4,13
Alap,47,1-4,9
Alap,49,1-4,5
Alap,85,1-4,8
Alap,96,1-4,7
Alap,25,10-19,5
Alattyán,1,1-4,10
Alattyán,25,1-4,5
Alattyán,43,1-4,16
Alattyán,47,1-4,17
Alattyán,56,1-4,5
Alattyán,82,1-4,5
Alattyán,96,1-4,5
Albertirsa,1,1-4,77
Albertirsa,10,1-4,6
Albertirsa,16,1-4,6
Albertirsa,31,1-4,7
Albertirsa,32,1-4,10
Albertirsa,33,1-4,12
Albertirsa,41,1-4,41
Albertirsa,42,1-4,10
Albertirsa,43,1-4,201
Albertirsa,45,1-4,28
Albertirsa,46,1-4,26
Albertirsa,47,1-4,106
Albertirsa,49,1-4,34
Albertirsa,53,1-4,19
Albertirsa,56,1-4,30
Albertirsa,59,1-4,6
Albertirsa,62,1-4,24
Albertirsa,63,1-4,7
Albertirsa,66,1-4,25
Albertirsa,68,1-4,33
Albertirsa,69,1-4,32
Albertirsa,70,1-4,26
Albertirsa,73,1-4,5
Albertirsa,74,1-4,24
Albertirsa,77,1-4,9
Albertirsa,81,1-4,16
Albertirsa,82,1-4,23
Albertirsa,85,1-4,37
Albertirsa,86,1-4,36
Albertirsa,90,1-4,11
Albertirsa,93,1-4,5
Albertirsa,95,1-4,12
Albertirsa,96,1-4,80
Albertirsa,56,10-19,5
Albertirsa,41,5-9,7
Albertirsa,43,5-9,6
Albertirsa,47,5-9,16
Alcsútdoboz,43,1-4,18
Alcsútdoboz,47,1-4,6
Alcsútdoboz,74,1-4,5
Alcsútdoboz,85,1-4,5
Alcsútdoboz,86,1-4,5
Alcsútdoboz,96,1-4,5
Aldebrõ,1,1-4,22
Aldebrõ,43,1-4,7
Algyõ,1,1-4,63
Algyõ,41,1-4,9
Algyõ,43,1-4,60
Algyõ,45,1-4,18
Algyõ,46,1-4,12
Algyõ,47,1-4,25
Algyõ,49,1-4,15
Algyõ,56,1-4,11
Algyõ,62,1-4,9
Algyõ,66,1-4,13
Algyõ,69,1-4,12
Algyõ,70,1-4,12
Algyõ,74,1-4,14
Algyõ,81,1-4,15
Algyõ,82,1-4,14
Algyõ,85,1-4,21
Algyõ,86,1-4,18
Algyõ,90,1-4,8
Algyõ,93,1-4,7
Algyõ,96,1-4,30
Algyõ,43,5-9,8
Almamellék,1,1-4,5
Almásfüzitõ,43,1-4,6
Almásfüzitõ,47,1-4,6
Almásfüzitõ,85,1-4,7
Almásfüzitõ,96,1-4,8
Almáskamarás,1,1-4,29
Almáskeresztúr,25,1-4,15
Alsóberecki,1,1-4,5
Alsónyék,1,1-4,9
Alsónyék,43,1-4,5
Alsónyék,47,1-4,7
Alsónyék,49,1-4,5
Alsónána,43,1-4,5
Alsónémedi,1,1-4,185
Alsónémedi,33,1-4,8
Alsónémedi,41,1-4,12
Alsónémedi,43,1-4,55
Alsónémedi,45,1-4,26
Alsónémedi,46,1-4,24
Alsónémedi,47,1-4,40
Alsónémedi,49,1-4,48
Alsónémedi,52,1-4,9
Alsónémedi,53,1-4,10
Alsónémedi,56,1-4,15
Alsónémedi,62,1-4,7
Alsónémedi,63,1-4,5
Alsónémedi,66,1-4,7
Alsónémedi,68,1-4,21
Alsónémedi,69,1-4,19
Alsónémedi,70,1-4,9
Alsónémedi,74,1-4,8
Alsónémedi,81,1-4,13
Alsónémedi,82,1-4,12
Alsónémedi,85,1-4,21
Alsónémedi,86,1-4,13
Alsónémedi,90,1-4,10
Alsónémedi,93,1-4,6
Alsónémedi,95,1-4,8
Alsónémedi,96,1-4,42
Alsónémedi,97,1-4,8
Alsónémedi,1,5-9,5
Alsónémedi,45,5-9,8
Alsónémedi,46,5-9,7
Alsónémedi,47,5-9,6
Alsónémedi,49,5-9,8
Alsópáhok,1,1-4,14
Alsóregmec,16,1-4,7
Alsóregmec,18,1-4,6
Alsóregmec,28,1-4,5
Alsóregmec,33,1-4,5
Alsószentiván,1,1-4,27
Alsószentiván,43,1-4,5
Alsószentmárton,1,1-4,7
Alsószentmárton,47,1-4,5
Alsószentmárton,81,1-4,6
Alsótelekes,1,1-4,7
Alsótold,1,1-4,10
Alsótold,43,1-4,5
Alsóvadász,1,1-4,12
Alsóvadász,43,1-4,6
Alsóvadász,47,1-4,6
Alsóvadász,25,10-19,15
Alsózsolca,1,1-4,11
Alsózsolca,41,1-4,6
Alsózsolca,43,1-4,42
Alsózsolca,45,1-4,8
Alsózsolca,47,1-4,25
Alsózsolca,49,1-4,9
Alsózsolca,56,1-4,11
Alsózsolca,62,1-4,7
Alsózsolca,66,1-4,14
Alsózsolca,70,1-4,5
Alsózsolca,74,1-4,7
Alsózsolca,81,1-4,5
Alsózsolca,85,1-4,7
Alsózsolca,86,1-4,12
Alsózsolca,96,1-4,19
Alsóörs,1,1-4,12
Alsóörs,23,1-4,7
Alsóörs,25,1-4,12
Alsóörs,41,1-4,12
Alsóörs,43,1-4,15
Alsóörs,46,1-4,8
Alsóörs,47,1-4,12
Alsóörs,49,1-4,5
Alsóörs,56,1-4,12
Alsóörs,66,1-4,7
Alsóörs,68,1-4,9
Alsóörs,69,1-4,6
Alsóörs,70,1-4,7
Alsóörs,77,1-4,5
Alsóörs,81,1-4,14
Alsóörs,82,1-4,6
Alsóörs,85,1-4,8
Alsóörs,86,1-4,9
Alsóörs,96,1-4,13
Alsóújlak,2,1-4,5
Ambrózfalva,1,1-4,5
Anarcs,1,1-4,18
Anarcs,41,1-4,6
Anarcs,43,1-4,16
Anarcs,45,1-4,11
Anarcs,47,1-4,8
Anarcs,66,1-4,5
Anarcs,85,1-4,5
Anarcs,96,1-4,9
Andocs,1,1-4,6
Andocs,41,1-4,5
Andocs,43,1-4,7
Andornaktálya,1,1-4,18
Andornaktálya,31,1-4,5
Andornaktálya,41,1-4,5
Andornaktálya,43,1-4,23
Andornaktálya,45,1-4,12
Andornaktálya,46,1-4,6
Andornaktálya,47,1-4,23
Andornaktálya,49,1-4,10
Andornaktálya,56,1-4,6
Andornaktálya,66,1-4,13
Andornaktálya,69,1-4,8
Andornaktálya,70,1-4,5
Andornaktálya,74,1-4,5
Andornaktálya,82,1-4,5
Andornaktálya,85,1-4,15
Andornaktálya,86,1-4,5
Andornaktálya,90,1-4,5
Andornaktálya,96,1-4,11
Annavölgy,43,1-4,15
Annavölgy,49,1-4,6
Apagy,1,1-4,40
Apagy,43,1-4,15
Apagy,45,1-4,8
Apagy,47,1-4,17
