settlement,teaor,bin,count
Aba,41,1-4,5
Aba,66,1-4,6
Abasár,66,1-4,9
Abaújszántó,11,1-4,5
Abaújszántó,41,1-4,10
Abaújszántó,55,1-4,6
Abony,16,1-4,6
Abony,41,1-4,20
Abony,66,1-4,40
Abony,80,1-4,8
Abony,90,1-4,18
Abony,41,5-9,6
Abádszalók,41,1-4,11
Abádszalók,55,1-4,9
Abádszalók,66,1-4,5
Adony,23,1-4,23
Adony,66,1-4,8
Adony,23,10-19,9
Adács,66,1-4,6
Aggtelek,55,1-4,5
Ajak,66,1-4,7
Ajak,90,1-4,7
Ajka,16,1-4,6
Ajka,41,1-4,38
Ajka,55,1-4,8
Ajka,66,1-4,84
Ajka,80,1-4,35
Ajka,90,1-4,27
Ajka,23,50-249,6
Akasztó,11,1-4,8
Akasztó,66,1-4,5
Albertirsa,16,1-4,6
Albertirsa,41,1-4,41
Albertirsa,66,1-4,25
Albertirsa,90,1-4,11
Albertirsa,41,5-9,7
Algyõ,41,1-4,9
Algyõ,66,1-4,13
Algyõ,90,1-4,8
Alsónémedi,41,1-4,12
Alsónémedi,66,1-4,7
Alsónémedi,90,1-4,10
Alsóregmec,16,1-4,7
Alsózsolca,41,1-4,6
Alsózsolca,66,1-4,14
Alsóörs,23,1-4,7
Alsóörs,41,1-4,12
Alsóörs,66,1-4,7
Anarcs,41,1-4,6
Anarcs,66,1-4,5
Andocs,41,1-4,5
Andornaktálya,41,1-4,5
Andornaktálya,66,1-4,13
Andornaktálya,90,1-4,5
Apagy,66,1-4,5
Arnót,66,1-4,8
Arnót,90,1-4,5
Aszód,41,1-4,11
Aszód,66,1-4,9
Aszód,90,1-4,11
Aszófõ,23,1-4,7
Atkár,16,1-4,5
Badacsonytomaj,11,1-4,11
Badacsonytomaj,41,1-4,5
Badacsonytomaj,55,1-4,19
Bag,16,1-4,6
Bag,41,1-4,7
Bag,66,1-4,7
Bag,90,1-4,7
Bagamér,41,1-4,5
Bagamér,80,1-4,5
Baj,41,1-4,5
Baja,11,1-4,5
Baja,41,1-4,30
Baja,55,1-4,13
Baja,66,1-4,94
Baja,80,1-4,6
Baja,90,1-4,43
Baja,41,10-19,7
Baja,41,5-9,7
Bakonybél,16,1-4,15
Bakonybél,55,1-4,6
Bakonycsernye,66,1-4,6
Bakonypölöske,23,1-4,6
Bakonyszentkirály,23,5-9,20
Baks,41,1-4,6
Baktalórántháza,66,1-4,8
Balassagyarmat,41,1-4,11
Balassagyarmat,55,1-4,6
Balassagyarmat,66,1-4,36
Balassagyarmat,80,1-4,14
Balassagyarmat,90,1-4,17
Balatonakali,55,1-4,6
Balatonakarattya,23,1-4,16
Balatonalmádi,41,1-4,22
Balatonalmádi,55,1-4,23
Balatonalmádi,66,1-4,27
Balatonalmádi,90,1-4,34
Balatonalmádi,41,5-9,9
Balatonberény,55,1-4,12
Balatonboglár,41,1-4,9
Balatonboglár,55,1-4,42
Balatonboglár,66,1-4,5
Balatonboglár,90,1-4,9
Balatonederics,41,1-4,5
Balatonederics,66,1-4,7
Balatonendréd,41,1-4,8
Balatonfenyves,16,1-4,8
Balatonfenyves,41,1-4,5
Balatonfenyves,55,1-4,8
Balatonfenyves,90,1-4,5
Balatonfõkajár,41,1-4,12
Balatonföldvár,55,1-4,16
Balatonföldvár,66,1-4,12
Balatonföldvár,90,1-4,5
Balatonfûzfõ,41,1-4,16
Balatonfûzfõ,55,1-4,5
Balatonfûzfõ,66,1-4,17
Balatonfûzfõ,90,1-4,10
Balatonfüred,11,1-4,13
Balatonfüred,41,1-4,28
Balatonfüred,55,1-4,56
Balatonfüred,66,1-4,26
Balatonfüred,90,1-4,22
Balatonfüred,23,10-19,12
Balatonfüred,23,5-9,18
Balatonkenese,41,1-4,6
Balatonkenese,55,1-4,12
Balatonkenese,66,1-4,9
Balatonkenese,90,1-4,5
Balatonkeresztúr,55,1-4,19
Balatonlelle,41,1-4,10
Balatonlelle,55,1-4,56
Balatonlelle,66,1-4,11
Balatonlelle,90,1-4,8
Balatonlelle,16,20-49,8
Balatonmáriafürdõ,41,1-4,6
Balatonmáriafürdõ,55,1-4,9
Balatonszabadi,23,1-4,84
Balatonszabadi,41,1-4,11
Balatonszabadi,66,1-4,10
Balatonszemes,55,1-4,11
Balatonszárszó,41,1-4,6
Balatonszárszó,55,1-4,21
Balatonvilágos,41,1-4,5
Balatonvilágos,66,1-4,5
Balkány,41,1-4,7
Ballószög,41,1-4,7
Ballószög,66,1-4,19
Balmazújváros,16,1-4,9
Balmazújváros,41,1-4,22
Balmazújváros,66,1-4,23
Balmazújváros,80,1-4,5
Balmazújváros,90,1-4,22
Balástya,41,1-4,6
Bana,41,1-4,6
Baracs,41,1-4,7
Baracs,66,1-4,11
Baracs,90,1-4,7
Baracska,66,1-4,5
Barcs,23,1-4,5
Barcs,41,1-4,14
Barcs,66,1-4,29
Barcs,90,1-4,6
Battonya,41,1-4,5
Bekecs,66,1-4,12
Bekecs,80,1-4,5
Berekfürdõ,55,1-4,6
Berettyóújfalu,16,1-4,5
Berettyóújfalu,41,1-4,16
Berettyóújfalu,55,1-4,6
Berettyóújfalu,66,1-4,28
Berettyóújfalu,80,1-4,17
Berettyóújfalu,90,1-4,13
Berhida,41,1-4,7
Berhida,66,1-4,7
Beszterec,23,1-4,5
Biatorbágy,16,1-4,5
Biatorbágy,41,1-4,53
Biatorbágy,66,1-4,24
Biatorbágy,90,1-4,56
Biatorbágy,41,5-9,6
Bicske,16,1-4,8
Bicske,23,1-4,5
Bicske,41,1-4,20
Bicske,66,1-4,39
Bicske,90,1-4,16
Bicske,41,5-9,5
Biharkeresztes,41,1-4,5
Bikal,16,1-4,23
Bocskaikert,41,1-4,12
Bocskaikert,66,1-4,13
Bocskaikert,80,1-4,8
Bocskaikert,90,1-4,6
Bocskaikert,41,20-49,5
Bodajk,66,1-4,5
Bodrogkeresztúr,11,1-4,12
Bodrogkeresztúr,16,10-19,101
Bodrogkeresztúr,16,20-49,62
Bodrogkisfalud,16,1-4,5
Bogyiszló,66,1-4,7
Bogács,55,1-4,26
Bogád,16,1-4,5
Bokod,41,1-4,5
Bokod,66,1-4,5
Boldog,23,1-4,8
Boldog,41,1-4,6
Boldva,66,1-4,6
Bonyhád,11,1-4,6
Bonyhád,41,1-4,20
Bonyhád,66,1-4,29
Bonyhád,90,1-4,11
Bonyhád,41,5-9,5
Bordány,41,1-4,6
Bordány,66,1-4,5
Borjád,16,1-4,8
Botykapeterd,41,1-4,5
Budajenõ,66,1-4,7
Budajenõ,90,1-4,9
Budakalász,41,1-4,10
Budakalász,66,1-4,30
Budakalász,90,1-4,42
Budakalász,41,5-9,6
Budakeszi,23,1-4,6
Budakeszi,41,1-4,21
Budakeszi,55,1-4,5
Budakeszi,66,1-4,39
Budakeszi,90,1-4,103
Budapest 01. kerület,23,1-4,7
Budapest 01. kerület,41,1-4,38
Budapest 01. kerület,55,1-4,22
Budapest 01. kerület,66,1-4,55
Budapest 01. kerület,78,1-4,10
Budapest 01. kerület,80,1-4,8
Budapest 01. kerület,90,1-4,236
Budapest 01. kerület,41,10-19,6
Budapest 01. kerület,41,5-9,11
Budapest 01. kerület,90,5-9,6
Budapest 01. kerület,84,50-249,7
Budapest 02. kerület,11,1-4,12
Budapest 02. kerület,16,1-4,9
Budapest 02. kerület,23,1-4,12
Budapest 02. kerület,41,1-4,232
Budapest 02. kerület,55,1-4,73
Budapest 02. kerület,66,1-4,228
Budapest 02. kerület,78,1-4,26
Budapest 02. kerület,80,1-4,31
Budapest 02. kerület,84,1-4,5
Budapest 02. kerület,90,1-4,721
Budapest 02. kerület,41,10-19,15
Budapest 02. kerület,66,10-19,6
Budapest 02. kerület,41,20-49,6
Budapest 02. kerület,55,20-49,11
Budapest 02. kerület,66,20-49,6
